ID	Cusps	OPC
538	1	9.500000
539	1	22.500000
540	0	12.000000
541	1	14.500000
542	0	26.000000
543	0	8.500000
544	0	2.250000
545	1	10.250000
546	1	9.500000
547	1	9.500000
548	1	29.000000
549	0	10.000000
550	1	8.500000
551	1	10.500000
552	3	72.625000
553	0	2.250000
554	0	11.000000
555	1	10.750000
556	0	8.375000
557	0	88.375000
558	1	21.500000
559	1	28.000000
560	1	8.250000
561	1	16.500000
562	1	10.500000
563	0	8.500000
564	0	5.750000
565	1	10.500000
566	0	8.500000
567	1	8.500000
568	1	11.000000
569	1	11.000000
570	5	81.875000
571	1	10.500000
572	0	9.500000
573	1	8.250000
574	1	10.000000
575	1	10.500000
576	0	7.250000
577	1	10.500000
578	1	10.500000
579	0	9.500000
580	1	10.000000
581	0	2.250000
582	0	4.250000
583	2	2.250000
584	0	8.500000
585	1	23.250000
586	0	10.500000
587	0	3.500000
588	1	10.500000
589	0	8.500000
590	1	8.500000
591	1	10.500000
592	1	11.500000
593	0	9.500000
594	1	18.750000
595	1	10.250000
596	0	13.500000
597	36	350.000000
598	8	75.000000
599	0	3.750000
600	0	2.250000
601	0	10.500000
602	1	26.000000
603	1	9.500000
604	0	9.500000
605	0	8.500000
606	1	10.000000
607	1	31.375000
608	5	180.500000
609	1	10.500000
610	16	209.250000
611	0	12.000000
612	0	13.000000
613	0	10.500000
614	1	9.000000
615	0	4.500000
616	1	10.500000
617	11	275.125000
618	0	12.000000
619	0	10.500000
620	0	11.750000
621	1	17.500000
622	0	4.500000
623	1	10.000000
624	0	11.875000
625	1	9.500000
626	0	10.500000
627	3	33.125000
628	1	10.500000
629	0	10.500000
630	0	10.000000
631	1	10.000000
632	1	20.750000
633	1	9.500000
634	1	10.500000
635	1	10.500000
636	1	8.500000
637	1	10.250000
638	0	8.250000
639	1	9.250000
640	1	10.500000
641	0	11.750000
642	1	9.250000
643	1	41.375000
644	0	8.500000
645	0	9.500000
646	1	9.500000
647	1	19.000000
648	0	4.500000
649	18	231.625000
650	2	22.500000
651	1	8.500000
652	1	10.750000
653	1	8.500000
654	1	12.750000
655	1	8.500000
656	0	11.500000
657	1	50.375000
658	26	384.250000
659	0	5.000000
660	1	9.250000
661	0	12.000000
662	0	11.750000
663	1	9.500000
664	0	10.500000
665	1	18.625000
666	1	9.250000
667	1	13.750000
668	0	9.500000
669	1	15.500000
670	1	11.500000
671	1	10.375000
672	0	9.250000
673	0	8.250000
674	1	16.750000
675	1	9.000000
676	1	10.500000
677	1	10.500000
678	2	117.625000
679	1	21.750000
680	1	12.500000
681	0	8.250000
682	1	10.250000
683	1	8.500000
684	1	8.500000
685	1	10.500000
686	1	16.000000
688	0	11.500000
689	1	12.000000
690	0	9.625000
691	0	9.500000
692	1	10.500000
693	1	11.000000
694	0	28.000000
695	1	27.875000
696	0	11.250000
697	1	10.000000
698	0	10.500000
699	0	9.500000
700	1	10.375000
701	1	16.750000
702	1	10.125000
703	0	4.500000
704	1	11.250000
705	0	4.500000
706	1	10.250000
707	1	8.500000
708	1	8.500000
709	0	2.750000
710	1	10.750000
711	0	10.500000
712	2	16.000000
713	1	10.500000
714	1	28.750000
715	0	2.250000
716	0	9.375000
717	0	12.000000
718	0	12.000000
719	1	8.375000
720	1	8.250000
721	0	7.250000
722	1	10.375000
723	0	8.500000
724	0	11.500000
725	0	10.500000
726	1	11.250000
727	1	17.750000
728	0	7.625000
729	0	12.000000
730	1	10.500000
731	0	9.000000
732	1	10.000000
733	31	292.500000
734	1	9.375000
735	0	11.750000
736	1	10.750000
737	0	12.000000
738	36	227.750000
739	0	12.000000
740	1	11.500000
741	0	8.000000
742	1	8.250000
743	12	268.000000
744	0	11.750000
745	1	39.000000
746	1	25.250000
747	1	12.750000
748	1	15.375000
749	1	10.500000
750	0	12.000000
751	0	9.375000
752	0	3.250000
753	1	18.500000
754	1	15.750000
755	0	11.500000
756	0	11.250000
757	1	9.500000
758	0	5.000000
759	0	8.375000
760	0	5.500000
761	1	18.500000
762	0	11.125000
763	1	8.500000
764	0	12.000000
765	0	2.750000
766	1	8.500000
767	0	8.375000
768	0	10.000000
769	1	19.500000
770	1	10.500000
