Complexity,Freq,Status
8.1491,131629.0,Rand
7.4083,69217.0,Rand
7.4083,329640.0,Rand
8.1491,8007.0,Rand
7.4083,77186.0,Rand
8.89,215467.0,Rand
8.89,197609.0,Rand
6.6675,90517.0,Rand
7.4083,119349.0,Rand
8.1491,252773.0,Rand
8.1491,324582.0,Rand
8.1491,159205.0,Rand
8.89,101736.0,Rand
7.4083,3674.0,Rand
7.4083,170122.0,Rand
7.4083,105697.0,Rand
9.6308,32543.0,Rand
7.4083,25035.0,Rand
7.4083,108263.0,Rand
8.1491,8297.0,Rand
8.1491,137079.0,Rand
7.4083,281665.0,Rand
7.4083,159154.0,Rand
8.1491,257174.0,Rand
6.6675,141989.0,Rand
8.1491,44939.0,Rand
8.1491,113859.0,Rand
8.89,279910.0,Rand
7.4083,146840.0,Rand
8.89,56180.0,Rand
7.4083,164912.0,Rand
6.6675,25835.0,Rand
7.4083,136507.0,Rand
7.4083,36864.0,Rand
7.4083,176615.0,Rand
8.1491,248579.0,Rand
8.89,11674.0,Rand
8.1491,121144.0,Rand
6.6675,54187.0,Rand
7.4083,37086.0,Rand
5.9266,136256.0,Rand
7.4083,190759.0,Rand
8.1491,193577.0,Rand
10.3716,125617.0,Rand
8.1491,179338.0,Rand
8.1491,155920.0,Rand
7.4083,48854.0,Rand
8.89,64284.0,Rand
7.4083,424444.0,Rand
8.1491,239268.0,Rand
8.1491,140159.0,Rand
8.1491,236329.0,Rand
8.1491,21000.0,Rand
5.9266,1331754.0,Rand
8.1491,86938.0,Rand
8.89,176212.0,Rand
5.9266,159815.0,Rand
5.9266,618575.0,Rand
8.1491,215309.0,Rand
8.1491,136677.0,Rand
8.1491,86875.0,Rand
8.1491,438535.0,Rand
8.89,2628.0,Rand
8.1491,153872.0,Rand
7.4083,244016.0,Rand
6.6675,22952.0,Rand
6.6675,73612.0,Rand
8.1491,29877.0,Rand
8.1491,26798.0,Rand
9.6308,116200.0,Rand
5.9266,137188.0,Rand
7.4083,7432.0,Rand
8.1491,36885.0,Rand
7.4083,99709.0,Rand
7.4083,27052.0,Rand
8.1491,77990.0,Rand
8.1491,104989.0,Rand
8.1491,209626.0,Rand
7.4083,121524.0,Rand
7.4083,23094.0,Rand
8.1491,87975.0,Rand
8.1491,38419.0,Rand
8.1491,47754.0,Rand
7.4083,150378.0,Rand
8.1491,2247.0,Rand
7.4083,50949.0,Rand
7.4083,135100.0,Rand
8.1491,80461.0,Rand
7.4083,157927.0,Rand
9.6308,189631.0,Rand
5.9266,194806.0,Rand
8.89,187485.0,Rand
8.1491,478159.0,Rand
7.4083,266497.0,Rand
8.1491,102491.0,Rand
