ID	Cusps	OPC
1242	0	11.500000
1243	0	10.500000
1244	0	4.250000
1245	1	16.250000
1246	0	10.875000
1247	0	8.250000
1248	0	11.500000
1249	0	9.375000
1250	2	27.375000
1251	1	10.500000
1252	0	4.500000
1253	1	8.500000
1254	0	8.500000
1255	0	2.250000
1256	1	25.000000
1257	1	17.000000
1258	0	11.625000
1259	1	8.500000
1260	0	8.500000
1261	1	13.750000
1262	1	10.750000
1263	0	4.500000
1264	1	9.500000
1265	1	8.500000
1266	1	9.500000
1267	0	10.250000
1268	1	18.500000
1269	0	12.000000
1270	1	31.500000
1271	0	8.375000
1272	0	10.375000
1273	1	9.250000
1274	0	8.250000
1275	0	9.250000
1276	0	12.000000
1277	0	11.875000
1278	1	10.500000
1279	0	10.000000
1280	1	9.250000
1281	0	11.000000
1282	1	11.000000
1283	1	18.000000
1284	0	12.000000
1285	1	20.500000
1286	0	4.500000
1287	0	8.500000
1289	1	21.000000
1290	0	12.000000
1291	5	26.875000
1292	0	12.000000
1293	0	9.750000
1294	0	11.875000
1295	1	10.500000
1296	0	12.000000
1297	0	8.750000
1298	1	27.500000
1299	1	10.500000
1300	0	12.000000
1301	1	10.000000
1302	0	2.250000
1303	0	8.750000
1304	14	304.625000
1305	0	9.250000
1306	0	9.500000
1307	0	9.000000
1308	0	4.500000
1309	2	43.875000
1310	0	10.500000
1311	0	2.250000
1312	0	9.500000
1313	0	9.500000
1314	1	18.500000
1315	1	11.000000
1316	1	11.000000
1317	1	10.000000
1318	0	10.250000
1319	1	10.500000
1320	1	10.500000
1321	13	157.500000
1322	1	8.500000
1323	0	8.500000
1324	1	8.500000
1325	1	8.250000
1326	0	9.500000
1327	1	11.500000
1328	0	11.250000
1330	1	9.250000
1331	1	19.875000
1332	51	323.875000
1333	1	8.250000
1334	1	10.500000
1335	1	11.500000
1336	1	9.500000
1337	1	10.250000
1338	0	2.250000
1339	1	10.000000
1340	1	9.250000
1341	0	9.500000
1342	1	10.500000
1343	0	11.750000
1344	1	10.500000
1345	1	10.500000
1346	1	9.000000
1347	1	11.500000
1348	0	11.750000
1349	1	10.750000
1350	1	11.250000
1351	1	10.125000
1352	0	7.250000
1353	1	11.500000
1354	0	5.000000
1355	0	8.250000
1356	0	10.250000
1357	0	11.750000
1358	0	8.500000
1359	1	18.000000
1360	1	14.625000
1361	10	124.500000
1362	0	9.375000
1363	35	266.375000
1364	1	33.250000
1365	0	11.750000
1366	1	21.000000
1367	1	10.500000
1368	1	9.500000
1369	0	8.500000
1370	0	12.000000
1371	1	19.750000
1372	1	11.500000
1373	1	22.000000
1374	1	8.500000
1375	7	153.000000
1376	1	8.000000
1378	1	10.500000
1379	1	8.750000
1380	0	12.000000
1381	0	8.250000
1382	0	12.000000
1383	1	17.750000
1384	0	8.500000
1385	1	11.500000
1386	1	10.500000
1387	0	14.750000
1388	0	2.250000
1389	0	23.125000
1390	1	10.250000
1391	1	9.000000
1392	0	4.250000
1393	0	9.500000
1394	0	9.250000
1395	1	11.250000
1396	1	27.625000
1397	0	2.250000
1398	0	5.500000
1399	0	4.250000
1400	1	19.750000
1401	1	8.125000
1402	0	9.500000
1403	0	9.500000
1404	1	16.000000
1405	1	8.500000
1406	0	4.500000
1407	0	11.250000
1408	0	9.000000
1409	1	10.250000
1410	0	5.500000
1411	1	11.500000
1412	2	20.500000
1413	0	10.250000
1414	0	7.750000
1415	0	11.500000
1416	1	10.500000
1417	1	5.875000
1418	1	10.750000
1419	0	2.250000
1420	1	15.625000
1421	1	9.250000
1422	0	12.000000
1423	0	6.000000
1424	0	11.875000
1425	0	11.750000
1426	0	8.500000
1427	0	8.250000
1428	1	8.500000
1429	1	23.500000
1430	0	4.500000
1431	6	34.625000
1432	1	14.750000
1433	0	11.875000
1434	1	9.375000
1435	0	11.500000
1436	0	4.500000
1437	0	5.500000
1438	1	9.500000
1439	0	12.000000
1440	0	8.500000
1441	1	10.500000
1442	18	212.875000
1443	1	10.500000
1444	1	9.500000
1445	2	36.625000
1446	1	10.500000
1447	1	55.750000
1448	1	9.000000
1449	1	13.125000
1450	1	9.250000
1451	0	9.000000
1452	1	32.625000
1453	1	12.000000
1454	0	12.000000
1455	0	2.750000
1456	1	9.000000
1457	0	12.000000
1458	1	13.750000
1459	0	12.000000
1460	0	8.500000
1461	0	2.750000
1462	1	15.000000
1463	0	9.500000
1464	1	15.250000
1466	0	9.500000
1467	0	8.250000
1468	1	9.250000
1469	0	12.000000
1470	0	2.250000
1471	0	9.000000
1472	19	242.000000
1473	0	10.500000
1474	0	4.500000
1475	0	10.500000
1476	0	4.500000
1477	1	10.250000
1478	0	9.500000
1479	0	12.000000
1480	1	13.000000
1481	0	4.500000
1482	0	12.000000
1483	1	9.500000
1484	1	9.750000
1485	0	12.000000
1486	0	7.250000
1487	0	8.500000
1488	1	35.500000
1489	1	9.250000
1490	1	16.500000
1491	0	2.250000
1492	1	10.500000
1493	0	11.000000
1494	1	10.750000
1495	1	15.125000
1496	1	103.750000
1498	1	8.250000
1499	1	17.000000
1500	1	11.500000
1501	1	23.250000
1502	0	9.500000
1503	10	166.125000
1504	0	2.250000
1505	0	10.500000
